Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,2
303,0
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,1
313,1
314,0
315,3
316,0
317,0
318,0
319,0
320,2
321,1
322,0
323,1
324,0
325,0
326,2
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,1
335,0
336,0
337,3
338,0
339,2
340,1
341,0
342,1
343,5
344,3
345,5
346,1
347,9
348,8
349,5
350,15
351,11
352,22
353,32
354,35
355,38
356,58
357,58
358,75
359,122
360,133
361,189
362,253
363,307
364,323
365,388
366,506
367,563
368,702
369,765
370,825
371,861
372,903
373,1032
374,1027
375,1063
376,1079
377,1091
378,984
379,1049
380,966
381,1008
382,908
383,923
384,887
385,854
386,753
387,745
388,686
389,720
390,643
391,642
392,567
393,557
394,619
395,550
396,550
397,503
398,446
399,456
400,466
401,449
402,437
403,407
404,389
405,393
406,369
407,385
408,323
409,367
410,308
411,319
412,279
413,269
414,275
415,294
416,263
417,248
418,226
419,244
420,213
421,232
422,220
423,215
424,202
425,201
426,210
427,183
428,180
429,177
430,157
431,184
432,145
433,162
434,153
435,142
436,121
437,143
438,133
439,140
440,107
441,111
442,99
443,95
444,104
445,114
446,122
447,100
448,98
449,95
450,99
451,80
452,92
453,87
454,84
455,77
456,70
457,80
458,71
459,67
460,74
461,62
462,47
463,52
464,51
465,55
466,54
467,64
468,39
469,42
470,41
471,45
472,36
473,41
474,53
475,41
476,36
477,32
478,34
479,29
480,24
481,32
482,26
483,34
484,24
485,23
486,26
487,30
488,27
489,19
490,30
491,23
492,25
493,30
494,15
495,13
496,21
497,20
498,16
499,9
500,15
501,12
502,11
503,16
504,13
505,11
506,7
507,8
508,15
509,9
510,9
511,8
512,16
513,8
514,8
515,10
516,8
517,11
518,12
519,6
520,9
521,9
522,11
523,12
524,9
525,8
526,1
527,5
528,11
529,4
